@relation Training1

@attribute snake_x numeric
@attribute snake_y numeric
@attribute food_x numeric
@attribute food_y numeric
@attribute length numeric
@attribute delta_x numeric
@attribute delta_y numeric
@attribute distance_to_fruit numeric
@attribute isSafeUp {True,False}
@attribute isSafeDown {True,False}
@attribute isSafeLeft {True,False}
@attribute isSafeRight {True,False}
@attribute direction {0,1,2,3}

@data
100,60,240,380,3,140,320,349.28498393145964,False,True,True,True,1
100,70,240,380,3,140,310,340.14702703389895,False,True,True,True,1
100,80,240,380,3,140,300,331.058907144937,False,True,True,True,1
100,90,240,380,3,140,290,322.02484376209236,False,True,True,True,1
100,100,240,380,3,140,280,313.04951684997053,False,True,True,True,1
100,110,240,380,3,140,270,304.138126514911,False,True,True,True,1
100,120,240,380,3,140,260,295.296461204668,False,True,True,True,1
100,130,240,380,3,140,250,286.53097563788805,False,True,True,True,1
100,140,240,380,3,140,240,277.8488797889961,False,True,True,True,1
100,150,240,380,3,140,230,269.2582403567252,False,True,True,True,1
100,160,240,380,3,140,220,260.76809620810593,False,True,True,True,1
100,170,240,380,3,140,210,252.38858928247924,False,True,True,True,1
100,180,240,380,3,140,200,244.13111231467406,False,True,True,True,1
100,190,240,380,3,140,190,236.00847442411893,False,True,True,True,1
100,200,240,380,3,140,180,228.0350850198276,False,True,True,True,1
100,210,240,380,3,140,170,220.22715545545242,False,True,True,True,1
100,220,240,380,3,140,160,212.60291625469299,False,True,True,True,1
100,230,240,380,3,140,150,205.1828452868319,False,True,True,True,1
100,240,240,380,3,140,140,197.9898987322333,False,True,True,True,1
100,250,240,380,3,140,130,191.049731745428,False,True,True,True,1
100,260,240,380,3,140,120,184.39088914585776,False,True,True,True,1
100,270,240,380,3,140,110,178.04493814764857,False,True,True,True,1
100,280,240,380,3,140,100,172.04650534085255,False,True,True,True,1
100,290,240,380,3,140,90,166.43316977093238,False,True,True,True,1
100,300,240,380,3,140,80,161.24515496597098,False,True,True,True,1
100,310,240,380,3,140,70,156.52475842498527,False,True,True,True,1
100,320,240,380,3,140,60,152.31546211727817,False,True,True,True,1
100,330,240,380,3,140,50,148.66068747318505,False,True,True,True,1
100,340,240,380,3,140,40,145.60219778561037,False,True,True,True,1
100,350,240,380,3,140,30,143.17821063276352,False,True,True,True,1
100,360,240,380,3,140,20,141.4213562373095,False,True,True,True,1
100,370,240,380,3,140,10,140.356688476182,False,True,True,True,1
100,380,240,380,3,140,0,140.0,False,True,True,True,1
110,380,240,380,3,130,0,130.0,True,True,False,True,3
120,380,240,380,3,120,0,120.0,True,True,False,True,3
130,380,240,380,3,110,0,110.0,True,True,False,True,3
140,380,240,380,3,100,0,100.0,True,True,False,True,3
150,380,240,380,3,90,0,90.0,True,True,False,True,3
160,380,240,380,3,80,0,80.0,True,True,False,True,3
170,380,240,380,3,70,0,70.0,True,True,False,True,3
180,380,240,380,3,60,0,60.0,True,True,False,True,3
190,380,240,380,3,50,0,50.0,True,True,False,True,3
200,380,240,380,3,40,0,40.0,True,True,False,True,3
210,380,240,380,3,30,0,30.0,True,True,False,True,3
220,380,240,380,3,20,0,20.0,True,True,False,True,3
230,380,240,380,3,10,0,10.0,True,True,False,True,3
240,380,470,280,4,230,-100,250.79872407968904,True,True,False,True,3
240,370,470,280,4,230,-90,246.9817807045694,True,False,True,True,0
240,360,470,280,4,230,-80,243.51591323771842,True,False,True,True,0
240,350,470,280,4,230,-70,240.41630560342617,True,False,True,True,0
240,340,470,280,4,230,-60,237.69728648009425,True,False,True,True,0
240,330,470,280,4,230,-50,235.3720459187964,True,False,True,True,0
240,320,470,280,4,230,-40,233.45235059857504,True,False,True,True,0
240,310,470,280,4,230,-30,231.94827009486403,True,False,True,True,0
240,300,470,280,4,230,-20,230.8679276123039,True,False,True,True,0
240,290,470,280,4,230,-10,230.21728866442677,True,False,True,True,0
240,280,470,280,4,230,0,230.0,True,False,True,True,0
250,280,470,280,4,220,0,220.0,True,True,False,True,3
260,280,470,280,4,210,0,210.0,True,True,False,True,3
270,280,470,280,4,200,0,200.0,True,True,False,True,3
280,280,470,280,4,190,0,190.0,True,True,False,True,3
290,280,470,280,4,180,0,180.0,True,True,False,True,3
300,280,470,280,4,170,0,170.0,True,True,False,True,3
310,280,470,280,4,160,0,160.0,True,True,False,True,3
320,280,470,280,4,150,0,150.0,True,True,False,True,3
330,280,470,280,4,140,0,140.0,True,True,False,True,3
340,280,470,280,4,130,0,130.0,True,True,False,True,3
350,280,470,280,4,120,0,120.0,True,True,False,True,3
360,280,470,280,4,110,0,110.0,True,True,False,True,3
370,280,470,280,4,100,0,100.0,True,True,False,True,3
380,280,470,280,4,90,0,90.0,True,True,False,True,3
390,280,470,280,4,80,0,80.0,True,True,False,True,3
400,280,470,280,4,70,0,70.0,True,True,False,True,3
410,280,470,280,4,60,0,60.0,True,True,False,True,3
420,280,470,280,4,50,0,50.0,True,True,False,True,3
430,280,470,280,4,40,0,40.0,True,True,False,True,3
440,280,470,280,4,30,0,30.0,True,True,False,True,3
450,280,470,280,4,20,0,20.0,True,True,False,True,3
460,280,470,280,4,10,0,10.0,True,True,False,True,3
470,280,300,400,5,-170,120,208.08652046684813,True,True,False,False,3
470,290,300,400,5,-170,110,202.48456731316588,False,True,True,False,1
470,300,300,400,5,-170,100,197.2308292331602,False,True,True,False,1
470,310,300,400,5,-170,90,192.35384061671346,False,True,True,False,1
470,320,300,400,5,-170,80,187.88294228055935,False,True,True,False,1
470,330,300,400,5,-170,70,183.84776310850236,False,True,True,False,1
470,340,300,400,5,-170,60,180.27756377319946,False,True,True,False,1
470,350,300,400,5,-170,50,177.2004514666935,False,True,True,False,1
470,360,300,400,5,-170,40,174.64249196572982,False,True,True,False,1
470,370,300,400,5,-170,30,172.6267650163207,False,True,True,False,1
470,380,300,400,5,-170,20,171.1724276862369,False,True,True,False,1
470,390,300,400,5,-170,10,170.29386365926402,False,True,True,False,1
470,400,300,400,5,-170,0,170.0,False,True,True,False,1
460,400,300,400,5,-160,0,160.0,True,True,True,False,2
450,400,300,400,5,-150,0,150.0,True,True,True,False,2
440,400,300,400,5,-140,0,140.0,True,True,True,False,2
430,400,300,400,5,-130,0,130.0,True,True,True,False,2
420,400,300,400,5,-120,0,120.0,True,True,True,False,2
410,400,300,400,5,-110,0,110.0,True,True,True,False,2
400,400,300,400,5,-100,0,100.0,True,True,True,False,2
