@relation TrainingPhase4

@attribute distance_to_fruit numeric
@attribute snake_length numeric
@attribute curr_score numeric
@attribute ticks_since_last_score numeric
@attribute next_score numeric

@data
280.178514522438,3,0,0,-1
270.1851217221259,3,-1,1,-2
260.1922366251537,3,-2,2,-3
250.19992006393608,3,-3,3,-4
240.20824298928628,3,-4,4,-5
230.21728866442677,3,-5,5,-6
220.22715545545242,3,-6,6,-7
210.23796041628637,3,-7,7,-8
200.24984394500785,3,-8,8,-9
190.26297590440447,3,-9,9,-10
180.27756377319946,3,-10,10,-11
170.29386365926402,3,-11,11,-12
160.31219541881399,3,-12,12,-13
150.33296378372907,3,-13,13,-14
140.356688476182,3,-14,14,-15
130.38404810405297,3,-15,15,-16
120.41594578792295,3,-16,16,-17
110.45361017187261,3,-17,17,-18
100.4987562112089,3,-18,18,-19
90.55385138137417,3,-19,19,-20
80.62257748298549,3,-20,20,-21
70.71067811865476,3,-21,21,-22
60.8276253029822,3,-22,22,-23
50.99019513592785,3,-23,23,-24
50.0,3,-24,24,-25
40.0,3,-25,25,-26
30.0,3,-26,26,-27
20.0,3,-27,27,-28
10.0,3,-28,28,72
327.566787083184,4,72,0,71
336.1547262794322,4,71,1,70
344.81879299133334,4,70,2,69
353.5533905932738,4,69,3,68
348.85527085024813,4,68,4,67
344.3835071544513,4,67,5,66
340.14702703389895,4,66,6,65
336.1547262794322,4,65,7,64
332.41540277189324,4,64,8,63
328.93768406797057,4,63,9,62
325.7299494980466,4,62,10,61
322.80024783137947,4,61,11,60
320.1562118716424,4,60,12,59
317.80497164141406,4,59,13,58
315.75306807693886,4,58,14,57
314.00636936215164,4,57,15,56
312.5699921617557,4,56,16,55
311.44823004794875,4,55,17,54
310.64449134018133,4,54,18,53
310.16124838541646,4,53,19,52
310.0,4,52,20,51
300.0,4,51,21,50
290.0,4,50,22,49
280.0,4,49,23,48
270.0,4,48,24,47
260.0,4,47,25,46
250.0,4,46,26,45
240.0,4,45,27,44
230.0,4,44,28,43
220.0,4,43,29,42
210.0,4,42,30,41
200.0,4,41,31,40
190.0,4,40,32,39
180.0,4,39,33,38
170.0,4,38,34,37
160.0,4,37,35,36
150.0,4,36,36,35
140.0,4,35,37,34
130.0,4,34,38,33
120.0,4,33,39,32
110.0,4,32,40,31
100.0,4,31,41,30
90.0,4,30,42,29
80.0,4,29,43,28
70.0,4,28,44,27
60.0,4,27,45,26
50.0,4,26,46,25
40.0,4,25,47,24
30.0,4,24,48,23
20.0,4,23,49,22
10.0,4,22,50,122
296.1418578992169,5,122,0,121
305.9411708155671,5,121,1,120
315.75306807693886,5,120,2,119
325.5764119219941,5,119,3,118
323.88269481403296,5,118,4,117
322.49030993194197,5,117,5,116
312.5699921617557,5,116,6,115
302.65491900843114,5,115,7,114
292.7456233660889,5,114,8,113
282.842712474619,5,113,9,112
272.9468812791236,5,112,10,111
263.0589287593181,5,111,11,110
253.17977802344325,5,110,12,109
251.79356624028344,5,109,13,108
250.79872407968904,5,108,14,107
250.19992006393608,5,107,15,106
250.0,5,106,16,105
240.0,5,105,17,104
230.0,5,104,18,103
220.0,5,103,19,102
210.0,5,102,20,101
200.0,5,101,21,100
190.0,5,100,22,99
180.0,5,99,23,98
170.0,5,98,24,97
160.0,5,97,25,96
150.0,5,96,26,95
140.0,5,95,27,94
130.0,5,94,28,93
120.0,5,93,29,92
110.0,5,92,30,91
100.0,5,91,31,90
90.0,5,90,32,89
80.0,5,89,33,88
70.0,5,88,34,87
60.0,5,87,35,86
50.0,5,86,36,85
40.0,5,85,37,84
30.0,5,84,38,83
20.0,5,83,39,82
10.0,5,82,40,182
116.61903789690601,6,182,0,181
122.06555615733703,6,181,1,180
130.38404810405297,6,180,2,179
138.92443989449805,6,179,3,178
147.648230602334,6,178,4,177
156.52475842498527,6,177,5,176
165.5294535724685,6,176,6,175
161.55494421403512,6,175,7,174
158.11388300841898,6,174,8,173
155.24174696260025,6,173,9,172
152.97058540778355,6,172,10,171
151.32745950421557,6,171,11,170
150.33296378372907,6,170,12,169
140.356688476182,6,169,13,168
130.38404810405297,6,168,14,167
120.41594578792295,6,167,15,166
110.45361017187261,6,166,16,165
100.4987562112089,6,165,17,164
90.55385138137417,6,164,18,163
80.62257748298549,6,163,19,162
80.0,6,162,20,161
80.62257748298549,6,161,21,160
70.71067811865476,6,160,22,159
60.8276253029822,6,159,23,158
50.99019513592785,6,158,24,157
41.23105625617661,6,157,25,156
31.622776601683793,6,156,26,155
22.360679774997898,6,155,27,154
20.0,6,154,28,153
22.360679774997898,6,153,29,152
28.284271247461902,6,152,30,151
36.05551275463989,6,151,31,150
44.721359549995796,6,150,32,149
53.85164807134504,6,149,33,148
63.245553203367585,6,148,34,147
60.8276253029822,6,147,35,146
60.0,6,146,36,145
60.8276253029822,6,145,37,144
50.99019513592785,6,144,38,143
41.23105625617661,6,143,39,142
31.622776601683793,6,142,40,141
22.360679774997898,6,141,41,140
14.142135623730951,6,140,42,139
10.0,6,139,43,239
263.0589287593181,7,239,0,238
253.17977802344325,7,238,1,237
243.3105012119288,7,237,2,236
233.45235059857504,7,236,3,235
223.60679774997897,7,235,4,234
213.7755832643195,7,234,5,233
203.9607805437114,7,233,6,232
194.164878389476,7,232,7,231
184.39088914585776,7,231,8,230
174.64249196572982,7,230,9,229
164.92422502470643,7,229,10,228
155.24174696260025,7,228,11,227
145.60219778561037,7,227,12,226
136.01470508735443,7,226,13,225
126.49110640673517,7,225,14,224
117.04699910719626,7,224,15,223
107.70329614269008,7,223,16,222
104.4030650891055,7,222,17,221
101.9803902718557,7,221,18,220
100.4987562112089,7,220,19,219
100.0,7,219,20,218
90.0,7,218,21,217
80.0,7,217,22,216
70.0,7,216,23,215
60.0,7,215,24,214
50.0,7,214,25,213
40.0,7,213,26,212
30.0,7,212,27,211
20.0,7,211,28,210
10.0,7,210,29,310
445.5333881989093,8,310,0,309
452.54833995939043,8,309,1,308
459.67379738244813,8,308,2,307
466.9047011971501,8,307,3,306
474.23622805517505,8,306,4,305
467.54678910243837,8,305,5,304
460.9772228646444,8,304,6,303
454.53272709454046,8,303,7,302
448.2186966202994,8,302,8,301
442.04072210600685,8,301,9,300
436.0045871318328,8,300,10,299
430.11626335213134,8,299,11,298
424.38190347845887,8,298,12,297
418.80783182743846,8,297,13,296
413.40053217188773,8,296,14,295
408.16663263917104,8,295,15,294
403.11288741492746,8,294,16,293
398.24615503479754,8,293,17,292
393.57337308308854,8,292,18,291
389.1015291668744,8,291,19,290
384.83762809787714,8,290,20,289
380.7886552931954,8,289,21,288
376.9615364994153,8,288,22,287
373.3630940518894,8,287,23,286
370.0,8,286,24,285
366.87872655688284,8,285,25,284
364.0054944640259,8,284,26,283
361.386219991853,8,283,27,282
359.02646142032484,8,282,28,281
356.9313659514949,8,281,29,280
355.10561809129405,8,280,30,279
353.5533905932738,8,279,31,278
352.27829907617075,8,278,32,277
351.2833614050059,8,277,33,276
350.5709628591621,8,276,34,275
340.58772731852804,8,275,35,274
330.6055050963308,8,274,36,273
320.62439083762797,8,273,37,272
310.64449134018133,8,272,38,271
300.66592756745814,8,271,39,270
290.68883707497264,8,270,40,269
280.713376952364,8,269,41,268
270.7397274136177,8,268,42,267
260.76809620810593,8,267,43,266
250.79872407968904,8,266,44,265
250.19992006393608,8,265,45,264
240.20824298928628,8,264,46,263
230.21728866442677,8,263,47,262
220.22715545545242,8,262,48,261
210.23796041628637,8,261,49,260
200.24984394500785,8,260,50,259
190.26297590440447,8,259,51,258
180.27756377319946,8,258,52,257
170.29386365926402,8,257,53,256
160.31219541881399,8,256,54,255
150.33296378372907,8,255,55,254
140.356688476182,8,254,56,253
140.0,8,253,57,252
130.0,8,252,58,251
120.0,8,251,59,250
110.0,8,250,60,249
100.0,8,249,61,248
90.0,8,248,62,247
80.0,8,247,63,246
70.0,8,246,64,245
60.0,8,245,65,244
50.0,8,244,66,243
40.0,8,243,67,242
30.0,8,242,68,241
20.0,8,241,69,240
10.0,8,240,70,340
420.5948168962618,9,340,0,339
423.7924020083418,9,339,1,338
414.36698710201324,9,338,2,337
404.96913462633177,9,337,3,336
395.60080889704966,9,336,4,335
386.2641583165593,9,335,5,334
376.9615364994153,9,334,6,333
367.6955262170047,9,333,7,332
358.4689665786984,9,332,8,331
349.28498393145964,9,331,9,330
340.14702703389895,9,330,10,329
331.058907144937,9,329,11,328
322.02484376209236,9,328,12,327
313.04951684997053,9,327,13,326
304.138126514911,9,326,14,325
295.296461204668,9,325,15,324
286.53097563788805,9,324,16,323
277.8488797889961,9,323,17,322
269.2582403567252,9,322,18,321
260.76809620810593,9,321,19,320
252.38858928247924,9,320,20,319
244.13111231467406,9,319,21,318
236.00847442411893,9,318,22,317
228.0350850198276,9,317,23,316
220.22715545545242,9,316,24,315
212.60291625469299,9,315,25,314
205.1828452868319,9,314,26,313
197.9898987322333,9,313,27,312
191.049731745428,9,312,28,311
184.39088914585776,9,311,29,310
178.04493814764857,9,310,30,309
172.04650534085255,9,309,31,308
166.43316977093238,9,308,32,307
161.24515496597098,9,307,33,306
156.52475842498527,9,306,34,305
152.31546211727817,9,305,35,304
148.66068747318505,9,304,36,303
145.60219778561037,9,303,37,302
143.17821063276352,9,302,38,301
141.4213562373095,9,301,39,300
140.356688476182,9,300,40,299
140.0,9,299,41,298
130.0,9,298,42,297
120.0,9,297,43,296
110.0,9,296,44,295
100.0,9,295,45,294
90.0,9,294,46,293
80.0,9,293,47,292
70.0,9,292,48,291
60.0,9,291,49,290
50.0,9,290,50,289
40.0,9,289,51,288
30.0,9,288,52,287
20.0,9,287,53,286
10.0,9,286,54,386
392.04591567825315,10,386,0,385
386.00518131237567,10,385,1,384
380.13155617496426,10,384,2,383
374.4329045369811,10,383,3,382
368.9173349139343,10,382,4,381
363.59317925395686,10,381,5,380
358.4689665786984,10,380,6,379
353.5533905932738,10,379,7,378
348.85527085024813,10,378,8,377
344.3835071544513,10,377,9,376
340.14702703389895,10,376,10,375
336.1547262794322,10,375,11,374
332.41540277189324,10,374,12,373
328.93768406797057,10,373,13,372
325.7299494980466,10,372,14,371
322.80024783137947,10,371,15,370
320.1562118716424,10,370,16,369
317.80497164141406,10,369,17,368
315.75306807693886,10,368,18,367
314.00636936215164,10,367,19,366
312.5699921617557,10,366,20,365
311.44823004794875,10,365,21,364
310.64449134018133,10,364,22,363
310.16124838541646,10,363,23,362
310.0,10,362,24,361
310.16124838541646,10,361,25,360
300.1666203960727,10,360,26,359
290.17236257093816,10,359,27,358
280.178514522438,10,358,28,357
270.1851217221259,10,357,29,356
260.1922366251537,10,356,30,355
250.19992006393608,10,355,31,354
240.20824298928628,10,354,32,353
230.21728866442677,10,353,33,352
220.22715545545242,10,352,34,351
210.23796041628637,10,351,35,350
210.0,10,350,36,349
210.23796041628637,10,349,37,348
200.24984394500785,10,348,38,347
190.26297590440447,10,347,39,346
180.27756377319946,10,346,40,345
170.29386365926402,10,345,41,344
160.31219541881399,10,344,42,343
150.33296378372907,10,343,43,342
140.356688476182,10,342,44,341
130.38404810405297,10,341,45,340
120.41594578792295,10,340,46,339
120.0,10,339,47,338
110.0,10,338,48,337
100.0,10,337,49,336
90.0,10,336,50,335
80.0,10,335,51,334
70.0,10,334,52,333
60.0,10,333,53,332
50.0,10,332,54,331
40.0,10,331,55,330
30.0,10,330,56,329
20.0,10,329,57,328
10.0,10,328,58,428
122.06555615733703,11,428,0,427
114.0175425099138,11,427,1,426
106.30145812734649,11,426,2,425
98.99494936611666,11,425,3,424
92.19544457292888,11,424,4,423
86.02325267042627,11,423,5,422
80.62257748298549,11,422,6,421
76.15773105863909,11,421,7,420
72.80109889280519,11,420,8,419
70.71067811865476,11,419,9,418
70.0,11,418,10,417
60.0,11,417,11,416
50.0,11,416,12,415
40.0,11,415,13,414
30.0,11,414,14,413
20.0,11,413,15,412
10.0,11,412,16,512
201.24611797498108,12,512,0,511
205.91260281974002,12,511,1,510
210.95023109728987,12,510,2,509
216.33307652783935,12,509,3,508
222.03603311174518,12,508,4,507
214.00934559032697,12,507,5,506
206.15528128088303,12,506,6,505
198.4943324127921,12,505,7,504
191.049731745428,12,504,8,503
