@relation Training1-weka.filters.unsupervised.attribute.Remove-R9-12

@attribute snake_x numeric
@attribute snake_y numeric
@attribute food_x numeric
@attribute food_y numeric
@attribute length numeric
@attribute delta_x numeric
@attribute delta_y numeric
@attribute distance_to_fruit numeric
@attribute direction {0,1,2,3}

@data
100,60,240,380,3,140,320,349.284984,1
100,70,240,380,3,140,310,340.147027,1
100,80,240,380,3,140,300,331.058907,1
100,90,240,380,3,140,290,322.024844,1
100,100,240,380,3,140,280,313.049517,1
100,110,240,380,3,140,270,304.138127,1
100,120,240,380,3,140,260,295.296461,1
100,130,240,380,3,140,250,286.530976,1
100,140,240,380,3,140,240,277.84888,1
100,150,240,380,3,140,230,269.25824,1
100,160,240,380,3,140,220,260.768096,1
100,170,240,380,3,140,210,252.388589,1
100,180,240,380,3,140,200,244.131112,1
100,190,240,380,3,140,190,236.008474,1
100,200,240,380,3,140,180,228.035085,1
100,210,240,380,3,140,170,220.227155,1
100,220,240,380,3,140,160,212.602916,1
100,230,240,380,3,140,150,205.182845,1
100,240,240,380,3,140,140,197.989899,1
100,250,240,380,3,140,130,191.049732,1
100,260,240,380,3,140,120,184.390889,1
100,270,240,380,3,140,110,178.044938,1
100,280,240,380,3,140,100,172.046505,1
100,290,240,380,3,140,90,166.43317,1
100,300,240,380,3,140,80,161.245155,1
100,310,240,380,3,140,70,156.524758,1
100,320,240,380,3,140,60,152.315462,1
100,330,240,380,3,140,50,148.660687,1
100,340,240,380,3,140,40,145.602198,1
100,350,240,380,3,140,30,143.178211,1
100,360,240,380,3,140,20,141.421356,1
100,370,240,380,3,140,10,140.356688,1
100,380,240,380,3,140,0,140,1
110,380,240,380,3,130,0,130,3
120,380,240,380,3,120,0,120,3
130,380,240,380,3,110,0,110,3
140,380,240,380,3,100,0,100,3
150,380,240,380,3,90,0,90,3
160,380,240,380,3,80,0,80,3
170,380,240,380,3,70,0,70,3
180,380,240,380,3,60,0,60,3
190,380,240,380,3,50,0,50,3
200,380,240,380,3,40,0,40,3
210,380,240,380,3,30,0,30,3
220,380,240,380,3,20,0,20,3
230,380,240,380,3,10,0,10,3
240,380,470,280,4,230,-100,250.798724,3
240,370,470,280,4,230,-90,246.981781,0
240,360,470,280,4,230,-80,243.515913,0
