@relation TrainingPhase4-weka.filters.unsupervised.attribute.Remove-R3

@attribute distance_to_fruit numeric
@attribute snake_length numeric
@attribute ticks_since_last_score numeric
@attribute next_score numeric

@data
280.178515,3,0,-1
270.185122,3,1,-2
260.192237,3,2,-3
250.19992,3,3,-4
240.208243,3,4,-5
230.217289,3,5,-6
220.227155,3,6,-7
210.23796,3,7,-8
200.249844,3,8,-9
190.262976,3,9,-10
180.277564,3,10,-11
170.293864,3,11,-12
160.312195,3,12,-13
150.332964,3,13,-14
140.356688,3,14,-15
130.384048,3,15,-16
120.415946,3,16,-17
110.45361,3,17,-18
100.498756,3,18,-19
90.553851,3,19,-20
80.622577,3,20,-21
70.710678,3,21,-22
60.827625,3,22,-23
50.990195,3,23,-24
50,3,24,-25
40,3,25,-26
30,3,26,-27
20,3,27,-28
10,3,28,72
327.566787,4,0,71
336.154726,4,1,70
344.818793,4,2,69
353.553391,4,3,68
348.855271,4,4,67
344.383507,4,5,66
340.147027,4,6,65
336.154726,4,7,64
332.415403,4,8,63
328.937684,4,9,62
325.729949,4,10,61
322.800248,4,11,60
320.156212,4,12,59
317.804972,4,13,58
315.753068,4,14,57
314.006369,4,15,56
312.569992,4,16,55
311.44823,4,17,54
310.644491,4,18,53
310.161248,4,19,52
310,4,20,51
300,4,21,50
290,4,22,49
280,4,23,48
270,4,24,47
260,4,25,46
250,4,26,45
240,4,27,44
230,4,28,43
220,4,29,42
210,4,30,41
200,4,31,40
190,4,32,39
180,4,33,38
170,4,34,37
160,4,35,36
150,4,36,35
140,4,37,34
130,4,38,33
120,4,39,32
110,4,40,31
100,4,41,30
90,4,42,29
80,4,43,28
70,4,44,27
60,4,45,26
50,4,46,25
40,4,47,24
30,4,48,23
20,4,49,22
10,4,50,122
296.141858,5,0,121
305.941171,5,1,120
315.753068,5,2,119
325.576412,5,3,118
323.882695,5,4,117
322.49031,5,5,116
312.569992,5,6,115
302.654919,5,7,114
292.745623,5,8,113
282.842712,5,9,112
272.946881,5,10,111
263.058929,5,11,110
253.179778,5,12,109
251.793566,5,13,108
250.798724,5,14,107
250.19992,5,15,106
250,5,16,105
240,5,17,104
230,5,18,103
220,5,19,102
210,5,20,101
200,5,21,100
190,5,22,99
180,5,23,98
170,5,24,97
160,5,25,96
150,5,26,95
140,5,27,94
130,5,28,93
120,5,29,92
110,5,30,91
100,5,31,90
90,5,32,89
80,5,33,88
70,5,34,87
60,5,35,86
50,5,36,85
40,5,37,84
30,5,38,83
20,5,39,82
10,5,40,182
116.619038,6,0,181
122.065556,6,1,180
130.384048,6,2,179
138.92444,6,3,178
147.648231,6,4,177
156.524758,6,5,176
165.529454,6,6,175
161.554944,6,7,174
158.113883,6,8,173
155.241747,6,9,172
152.970585,6,10,171
151.32746,6,11,170
150.332964,6,12,169
140.356688,6,13,168
130.384048,6,14,167
120.415946,6,15,166
110.45361,6,16,165
100.498756,6,17,164
90.553851,6,18,163
80.622577,6,19,162
80,6,20,161
80.622577,6,21,160
70.710678,6,22,159
60.827625,6,23,158
50.990195,6,24,157
41.231056,6,25,156
31.622777,6,26,155
22.36068,6,27,154
20,6,28,153
22.36068,6,29,152
28.284271,6,30,151
36.055513,6,31,150
44.72136,6,32,149
53.851648,6,33,148
63.245553,6,34,147
60.827625,6,35,146
60,6,36,145
60.827625,6,37,144
50.990195,6,38,143
41.231056,6,39,142
31.622777,6,40,141
22.36068,6,41,140
14.142136,6,42,139
10,6,43,239
263.058929,7,0,238
253.179778,7,1,237
243.310501,7,2,236
233.452351,7,3,235
223.606798,7,4,234
213.775583,7,5,233
203.960781,7,6,232
194.164878,7,7,231
184.390889,7,8,230
174.642492,7,9,229
164.924225,7,10,228
155.241747,7,11,227
145.602198,7,12,226
136.014705,7,13,225
126.491106,7,14,224
117.046999,7,15,223
107.703296,7,16,222
104.403065,7,17,221
101.98039,7,18,220
100.498756,7,19,219
100,7,20,218
90,7,21,217
80,7,22,216
70,7,23,215
60,7,24,214
50,7,25,213
40,7,26,212
30,7,27,211
20,7,28,210
10,7,29,310
445.533388,8,0,309
452.54834,8,1,308
459.673797,8,2,307
466.904701,8,3,306
474.236228,8,4,305
467.546789,8,5,304
460.977223,8,6,303
454.532727,8,7,302
448.218697,8,8,301
442.040722,8,9,300
436.004587,8,10,299
430.116263,8,11,298
424.381903,8,12,297
418.807832,8,13,296
413.400532,8,14,295
408.166633,8,15,294
403.112887,8,16,293
398.246155,8,17,292
393.573373,8,18,291
389.101529,8,19,290
384.837628,8,20,289
380.788655,8,21,288
376.961536,8,22,287
373.363094,8,23,286
370,8,24,285
366.878727,8,25,284
364.005494,8,26,283
361.38622,8,27,282
359.026461,8,28,281
356.931366,8,29,280
355.105618,8,30,279
353.553391,8,31,278
352.278299,8,32,277
351.283361,8,33,276
350.570963,8,34,275
340.587727,8,35,274
330.605505,8,36,273
320.624391,8,37,272
310.644491,8,38,271
300.665928,8,39,270
290.688837,8,40,269
280.713377,8,41,268
270.739727,8,42,267
260.768096,8,43,266
250.798724,8,44,265
250.19992,8,45,264
240.208243,8,46,263
230.217289,8,47,262
220.227155,8,48,261
210.23796,8,49,260
200.249844,8,50,259
190.262976,8,51,258
180.277564,8,52,257
170.293864,8,53,256
160.312195,8,54,255
150.332964,8,55,254
140.356688,8,56,253
140,8,57,252
130,8,58,251
120,8,59,250
110,8,60,249
100,8,61,248
90,8,62,247
80,8,63,246
70,8,64,245
60,8,65,244
50,8,66,243
40,8,67,242
30,8,68,241
20,8,69,240
10,8,70,340
420.594817,9,0,339
423.792402,9,1,338
414.366987,9,2,337
404.969135,9,3,336
395.600809,9,4,335
386.264158,9,5,334
376.961536,9,6,333
367.695526,9,7,332
358.468967,9,8,331
349.284984,9,9,330
340.147027,9,10,329
331.058907,9,11,328
322.024844,9,12,327
313.049517,9,13,326
304.138127,9,14,325
295.296461,9,15,324
286.530976,9,16,323
277.84888,9,17,322
269.25824,9,18,321
260.768096,9,19,320
252.388589,9,20,319
244.131112,9,21,318
236.008474,9,22,317
228.035085,9,23,316
220.227155,9,24,315
212.602916,9,25,314
205.182845,9,26,313
197.989899,9,27,312
191.049732,9,28,311
184.390889,9,29,310
178.044938,9,30,309
172.046505,9,31,308
166.43317,9,32,307
161.245155,9,33,306
156.524758,9,34,305
152.315462,9,35,304
148.660687,9,36,303
145.602198,9,37,302
143.178211,9,38,301
141.421356,9,39,300
140.356688,9,40,299
140,9,41,298
130,9,42,297
120,9,43,296
110,9,44,295
100,9,45,294
90,9,46,293
80,9,47,292
70,9,48,291
60,9,49,290
50,9,50,289
40,9,51,288
30,9,52,287
20,9,53,286
10,9,54,386
392.045916,10,0,385
386.005181,10,1,384
380.131556,10,2,383
374.432905,10,3,382
368.917335,10,4,381
363.593179,10,5,380
358.468967,10,6,379
353.553391,10,7,378
348.855271,10,8,377
344.383507,10,9,376
340.147027,10,10,375
336.154726,10,11,374
332.415403,10,12,373
328.937684,10,13,372
325.729949,10,14,371
322.800248,10,15,370
320.156212,10,16,369
317.804972,10,17,368
315.753068,10,18,367
314.006369,10,19,366
312.569992,10,20,365
311.44823,10,21,364
310.644491,10,22,363
310.161248,10,23,362
310,10,24,361
310.161248,10,25,360
300.16662,10,26,359
290.172363,10,27,358
280.178515,10,28,357
270.185122,10,29,356
260.192237,10,30,355
250.19992,10,31,354
240.208243,10,32,353
230.217289,10,33,352
220.227155,10,34,351
210.23796,10,35,350
210,10,36,349
210.23796,10,37,348
200.249844,10,38,347
190.262976,10,39,346
180.277564,10,40,345
170.293864,10,41,344
160.312195,10,42,343
150.332964,10,43,342
140.356688,10,44,341
130.384048,10,45,340
120.415946,10,46,339
120,10,47,338
110,10,48,337
100,10,49,336
90,10,50,335
80,10,51,334
70,10,52,333
60,10,53,332
50,10,54,331
40,10,55,330
30,10,56,329
20,10,57,328
10,10,58,428
122.065556,11,0,427
114.017543,11,1,426
106.301458,11,2,425
98.994949,11,3,424
92.195445,11,4,423
86.023253,11,5,422
80.622577,11,6,421
76.157731,11,7,420
72.801099,11,8,419
70.710678,11,9,418
70,11,10,417
60,11,11,416
50,11,12,415
40,11,13,414
30,11,14,413
20,11,15,412
10,11,16,512
201.246118,12,0,511
205.912603,12,1,510
210.950231,12,2,509
216.333077,12,3,508
222.036033,12,4,507
214.009346,12,5,506
206.155281,12,6,505
198.494332,12,7,504
191.049732,12,8,503
183.847763,12,9,502
176.91806,12,10,501
170.293864,12,11,500
164.012195,12,12,499
158.113883,12,13,498
152.643375,12,14,497
147.648231,12,15,496
143.178211,12,16,495
139.283883,12,17,494
130,12,18,493
120.83046,12,19,492
111.803399,12,20,491
102.956301,12,21,490
94.339811,12,22,489
86.023253,12,23,488
78.102497,12,24,487
70.710678,12,25,486
64.031242,12,26,485
58.309519,12,27,484
53.851648,12,28,483
50.990195,12,29,482
50,12,30,481
40,12,31,480
30,12,32,479
20,12,33,478
10,12,34,578
180,13,0,577
190,13,1,576
200,13,2,575
210,13,3,574
220,13,4,573
230,13,5,572
240,13,6,571
250,13,7,570
260,13,8,569
270,13,9,568
280,13,10,567
290,13,11,566
300,13,12,565
310,13,13,564
320,13,14,563
320.156212,13,15,562
310.161248,13,16,561
300.16662,13,17,560
290.172363,13,18,559
280.178515,13,19,558
270.185122,13,20,557
260.192237,13,21,556
250.19992,13,22,555
240.208243,13,23,554
230.217289,13,24,553
220.227155,13,25,552
210.23796,13,26,551
200.249844,13,27,550
200,13,28,549
190,13,29,548
180,13,30,547
170,13,31,546
160,13,32,545
150,13,33,544
140,13,34,543
130,13,35,542
120,13,36,541
110,13,37,540
100,13,38,539
90,13,39,538
80,13,40,537
70,13,41,536
60,13,42,535
50,13,43,534
40,13,44,533
30,13,45,532
20,13,46,531
10,13,47,631
370.13511,14,0,630
362.353419,14,1,629
354.682957,14,2,628
347.131099,14,3,627
339.705755,14,4,626
332.415403,14,5,625
325.269119,14,6,624
318.276609,14,7,623
311.44823,14,8,622
304.795013,14,9,621
298.328678,14,10,620
292.061637,14,11,619
286.006993,14,12,618
280.178515,14,13,617
274.590604,14,14,616
269.25824,14,15,615
264.196896,14,16,614
259.422435,14,17,613
254.950976,14,18,612
250.798724,14,19,611
246.981781,14,20,610
243.515913,14,21,609
240.416306,14,22,608
237.697286,14,23,607
235.372046,14,24,606
233.452351,14,25,605
231.94827,14,26,604
230.867928,14,27,603
230.217289,14,28,602
220.227155,14,29,601
210.23796,14,30,600
200.249844,14,31,599
190.262976,14,32,598
180.277564,14,33,597
170.293864,14,34,596
160.312195,14,35,595
150.332964,14,36,594
140.356688,14,37,593
130.384048,14,38,592
120.415946,14,39,591
110.45361,14,40,590
100.498756,14,41,589
90.553851,14,42,588
80.622577,14,43,587
70.710678,14,44,586
60.827625,14,45,585
50.990195,14,46,584
41.231056,14,47,583
31.622777,14,48,582
22.36068,14,49,581
14.142136,14,50,580
10,14,51,680
247.386338,15,0,679
257.099203,15,1,678
266.833281,15,2,677
276.586334,15,3,676
286.356421,15,4,675
296.141858,15,5,674
305.941171,15,6,673
304.138127,15,7,672
302.654919,15,8,671
301.496269,15,9,670
300.665928,15,10,669
300.16662,15,11,668
290.172363,15,12,667
280.178515,15,13,666
270.185122,15,14,665
260.192237,15,15,664
250.19992,15,16,663
240.208243,15,17,662
230.217289,15,18,661
220.227155,15,19,660
210.23796,15,20,659
210,15,21,658
200,15,22,657
190,15,23,656
180,15,24,655
170,15,25,654
160,15,26,653
150,15,27,652
140,15,28,651
130,15,29,650
120,15,30,649
110,15,31,648
100,15,32,647
90,15,33,646
80,15,34,645
70,15,35,644
60,15,36,643
50,15,37,642
40,15,38,641
30,15,39,640
20,15,40,639
10,15,41,739
208.80613,16,0,738
206.155281,16,1,737
203.960781,16,2,736
202.237484,16,3,735
192.353841,16,4,734
182.482876,16,5,733
172.626765,16,6,732
162.788206,16,7,731
152.970585,16,8,730
143.178211,16,9,729
141.421356,16,10,728
140.356688,16,11,727
130.384048,16,12,726
120.415946,16,13,725
110.45361,16,14,724
100.498756,16,15,723
90.553851,16,16,722
80.622577,16,17,721
70.710678,16,18,720
70,16,19,719
60,16,20,718
50,16,21,717
40,16,22,716
30,16,23,715
20,16,24,714
10,16,25,814
565.685425,17,0,813
558.659109,17,1,812
551.724569,17,2,811
544.885309,17,3,810
538.144962,17,4,809
531.507291,17,5,808
524.97619,17,6,807
518.555686,17,7,806
512.249939,17,8,805
506.063237,17,9,804
500,17,10,803
494.064773,17,11,802
488.262225,17,12,801
482.59714,17,13,800
477.074418,17,14,799
471.699057,17,15,798
466.476152,17,16,797
461.41088,17,17,796
456.508488,17,18,795
451.77428,17,19,794
447.213595,17,20,793
442.831797,17,21,792
438.634244,17,22,791
434.626276,17,23,790
430.813185,17,24,789
427.200187,17,25,788
423.792402,17,26,787
420.594817,17,27,786
417.61226,17,28,785
414.84937,17,29,784
412.310563,17,30,783
410,17,31,782
407.921561,17,32,781
406.07881,17,33,780
404.474968,17,34,779
403.112887,17,35,778
401.995025,17,36,777
401.123422,17,37,776
400.499688,17,38,775
400.12498,17,39,774
400,17,40,773
400.12498,17,41,772
390.128184,17,42,771
380.131556,17,43,770
370.13511,17,44,769
360.138862,17,45,768
350.142828,17,46,767
340.147027,17,47,766
330.15148,17,48,765
320.156212,17,49,764
310.161248,17,50,763
300.16662,17,51,762
290.172363,17,52,761
280.178515,17,53,760
270.185122,17,54,759
260.192237,17,55,758
250.19992,17,56,757
240.208243,17,57,756
230.217289,17,58,755
220.227155,17,59,754
210.23796,17,60,753
200.249844,17,61,752
190.262976,17,62,751
180.277564,17,63,750
170.293864,17,64,749
160.312195,17,65,748
150.332964,17,66,747
140.356688,17,67,746
130.384048,17,68,745
120.415946,17,69,744
110.45361,17,70,743
100.498756,17,71,742
90.553851,17,72,741
80.622577,17,73,740
70.710678,17,74,739
60.827625,17,75,738
50.990195,17,76,737
41.231056,17,77,736
31.622777,17,78,735
22.36068,17,79,734
14.142136,17,80,733
10,17,81,833
284.429253,18,0,832
274.590604,18,1,831
264.764046,18,2,830
254.950976,18,3,829
245.153013,18,4,828
235.372046,18,5,827
225.610283,18,6,826
215.870331,18,7,825
206.155281,18,8,824
196.468827,18,9,823
186.815417,18,10,822
177.200451,18,11,821
167.630546,18,12,820
158.113883,18,13,819
148.660687,18,14,818
139.283883,18,15,817
130,18,16,816
120.83046,18,17,815
111.803399,18,18,814
102.956301,18,19,813
94.339811,18,20,812
86.023253,18,21,811
78.102497,18,22,810
70.710678,18,23,809
64.031242,18,24,808
58.309519,18,25,807
53.851648,18,26,806
50.990195,18,27,805
50,18,28,804
40,18,29,803
30,18,30,802
20,18,31,801
10,18,32,901
340.587727,19,0,900
334.215499,19,1,899
328.024389,19,2,898
322.024844,19,3,897
316.227766,19,4,896
310.644491,19,5,895
305.28675,19,6,894
300.16662,19,7,893
295.296461,19,8,892
290.688837,19,9,891
286.356421,19,10,890
282.311884,19,11,889
278.567766,19,12,888
275.13633,19,13,887
272.02941,19,14,886
269.25824,19,15,885
266.833281,19,16,884
264.764046,19,17,883
263.058929,19,18,882
261.725047,19,19,881
260.768096,19,20,880
260.192237,19,21,879
260,19,22,878
250,19,23,877
240,19,24,876
230,19,25,875
220,19,26,874
210,19,27,873
200,19,28,872
190,19,29,871
180,19,30,870
170,19,31,869
160,19,32,868
150,19,33,867
140,19,34,866
130,19,35,865
120,19,36,864
110,19,37,863
100,19,38,862
90,19,39,861
80,19,40,860
70,19,41,859
60,19,42,858
50,19,43,857
40,19,44,856
30,19,45,855
20,19,46,854
10,19,47,954
281.602557,20,0,953
282.842712,20,1,952
284.429253,20,2,951
274.590604,20,3,950
264.764046,20,4,949
254.950976,20,5,948
245.153013,20,6,947
235.372046,20,7,946
225.610283,20,8,945
215.870331,20,9,944
206.155281,20,10,943
196.468827,20,11,942
186.815417,20,12,941
177.200451,20,13,940
167.630546,20,14,939
158.113883,20,15,938
148.660687,20,16,937
139.283883,20,17,936
130,20,18,935
120.83046,20,19,934
111.803399,20,20,933
102.956301,20,21,932
94.339811,20,22,931
86.023253,20,23,930
78.102497,20,24,929
70.710678,20,25,928
64.031242,20,26,927
58.309519,20,27,926
53.851648,20,28,925
50.990195,20,29,924
41.231056,20,30,923
31.622777,20,31,922
22.36068,20,32,921
14.142136,20,33,920
10,20,34,1020
220.227155,21,0,1019
